MATCH STATISTICS
Player                    W    L   percentage
Albano Olivetti           0    1        0.000
Peter Polansky            0    1        0.000
Lucas Pouille             0    2        0.000
Albert Ramos-Vinolas      0    3        0.000
Pere Riba                 0    3        0.000
Noah Rubin                0    1        0.000
Michael Russell           0    3        0.000
Igor Sijsling             0    4        0.000
Daniel Smethurst          0    1        0.000
Potito Starace            0    1        0.000
Yuichi Sugita             0    1        0.000
Jordan Thompson           0    1        0.000
Filippo Volandri          0    3        0.000
James Ward                0    2        0.000
Yen-Hsun Wawrinka         0    1        0.000
Rhyne Williams            0    1        0.000
Yen-Hsun Yen-Hsun         0    1        0.000
Horacio Zeballos          0    1        0.000
Zhang Zhang               0    1        0.000

GAME STATISTICS
Player                    W    L   percentage
Yen-Hsun Jimmy           18    6        0.750
Rafael Nadal            357  215        0.624
Novak Djokovic          512  331        0.607
Roger Federer           450  318        0.586
David Ferrer            284  202        0.584
Tomas Berdych           363  267        0.576
Andy Murray             400  295        0.576
Stanislas Wawrinka      377  279        0.575
Grigor Dimitrov         315  243        0.565
Marin Cilic             346  270        0.562
Philipp Kohlschreiber   180  143        0.557
Milos Raonic            366  295        0.554
Gael Monfils            290  235        0.552
Gilles Simon            272  221        0.552
Kei Nishikori           313  258        0.548
Roberto Bautista-Agut   258  214        0.547
Jo-Wilfried Tsonga      297  247        0.546
Borna Coric              36   30        0.545
Ernests Gulbis          226  191        0.542
Kevin Anderson          292  251        0.538
Richard Gasquet         209  180        0.537
Jimmy Wang               52   45        0.536
Florian Mayer            76   66        0.535
Leonardo Mayer          205  179        0.534
Tommy Robredo           320  280        0.533
Michael Berrer           33   29        0.532
Matthias Bachinger       28   25        0.528
Tim Puetz                39   35        0.527
Guillermo Garcia-Lopez  166  149        0.527
Tatsuma Ito              69   62        0.527
Fabio Fognini           212  193        0.523
Andreas Seppi           159  145        0.523
Alexandr Dolgopolov     148  135        0.523
Yen-Hsun Aleksandr       23   21        0.523
David Goffin             80   74        0.519
Mikhail Youzhny         134  124        0.519
Steve Darcis             27   25        0.519
Fernando Verdasco       193  179        0.519
Adrian Mannarino        152  141        0.519
Jeremy Chardy           211  197        0.517
John Isner              221  207        0.516
Andrey Kuznetsov        127  119        0.516
Thomaz Bellucci         113  106        0.516
Juan-Martin Del-Potro    49   46        0.516
Dmitry Tursunov         121  114        0.515
Sam Querrey             192  181        0.515
Peter Gojowczyk          56   53        0.514
Jiri Vesely             135  128        0.513
Marcel Granollers       201  191        0.513
Stephane Robert         108  103        0.512
Jack Sock               133  127        0.512
Jurgen Zopp              46   44        0.511
Sam Groth                31   30        0.508
Edouard Roger-Vasselin  136  133        0.506
Nick Kyrgios            243  240        0.503
Feliciano Lopez         217  215        0.502
Dominic Thiem           148  147        0.502
Blaz Kavcic              75   75        0.500
Martin Klizan           175  175        0.500
Alex Kuznetsov           24   24        0.500
